Charge,Stddev,Mean,CV
COLD STORAGE CHARGE,0.27050035176354714,0.7946559304958623,0.34039933684853513
COMMISSION,0.47102245777118806,1.675206664666931,0.2811727458503384
CUSTOMS CHARGE,0.5777204874993724,0.6681349050081503,0.8646764046735816
EXPEDITOR,0.19088428179674394,0.6585985624970407,0.2898340395293554
GROWER ADVANCES,1.8426927990498707,12.768739484902465,0.14431281969756204
OCEAN FREIGHT,1.036804446026665,4.919428982631787,0.21075707153963166
YARD DRAYAGE FEES,0.35632678200362894,0.7299420299887057,0.4881576445312271
FREIGHT FLAT RATE,0.5927617847447221,0.5550835468922444,1.0678784987655057
QC INSPECTION FEE,0.010410177745048968,0.09692235691753454,0.10740739367188902
INSPECTIONS,0.1905008987005539,0.5727649641272198,0.33259872832976
PACKING MATERIALS,0.2875238292155243,0.12715695732290255,2.2611726111484867
REPACKING CHARGES,2.239023339706806,2.354683926846292,0.9508806316547146
TERMINAL CHARGE,1.0616354034195186,1.0551688378707051,1.0061284652434037
COSTCO EXCESS SALVAGE,2.419951068303013,1.7150607582853163,1.4110001972888893
EFT SERVICE CHARGE,0.0014545624629073034,0.01587419101208237,0.09163065140139665
FREIGHT REDLEIVERY,0.48447889550643963,0.33875558416329676,1.43017242565335
FREIGHT REJECTION,0.9334676493289127,0.714198025474095,1.307015163909566
HANDLING CHARGES,0.12198048094065927,0.07219670317841978,1.6895574946020568
DEMURRAGE CHARGE,1.9110702951908456,1.342282789353664,1.42374640451962
PACKING MATERIALS-OUTSIDE,0.00047392924448476896,0.0003975409114729762,1.1921521302770004
ADVERTISMENT & PROMOTIONS,0.25453992607007075,0.16095578850557454,1.5814275984318205
ASSESSMENTS,0.0,0.0,
COLD STORAGE FEES,,,
COMMISSION-FLAT,0.0,-0.643,-0.0
AIR BAG,,0.05,
RECORDER,,0.025,
FUMIGATION,0.2435516200786816,0.6671533739030924,0.3650609134355645
COLD TREATMENT FEES,,0.8867699642431466,
